Data Time:04/01/2021 15:50:50, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:07, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:24, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:43, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:44, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:46, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:52:40, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:52:44, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:52:45, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:53:45, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:53:50, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:53:52, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:56:46, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:56:47, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:56:47, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:57:15, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:57:16, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:57:16, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 16:07:48, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 16:07:58, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 16:07:58, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 16:08:35, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 16:08:36, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 16:08:36, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 16:10:56, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 16:10:58, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 16:10:58, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:05/01/2021 06:43:05, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 06:43:28, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 06:43:31, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:05/01/2021 06:43:31, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:05/01/2021 06:44:53, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 06:45:16, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 06:45:17, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:05/01/2021 06:45:17, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:05/01/2021 06:45:18, Message:The remote server returned an error: (404) Not Found., Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 07:29:38, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 07:31:08, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 07:31:14, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:05/01/2021 07:31:16, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:05/01/2021 07:31:20, Message:The remote server returned an error: (404) Not Found., Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:05/01/2021 07:40:10, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:71, Class Name:Program.cs
Data Time:05/01/2021 07:40:48, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:71, Class Name:Program.cs
